,Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
74,Luna 8 (E-6 No.12),"Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 UTC.[36]","Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 UTC.[36]","Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 UTC.[36]","Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 UTC.[36]","Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 UTC.[36]","Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 UTC.[36]"
75,Luna 9 (E-6 No.13),Luna 9,31 January 1966,Molniya-M,Lavochkin,Lander,
76,Luna 9 (E-6 No.13),First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 UTC.[38],First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 UTC.[38],First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 UTC.[38],First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 UTC.[38],First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 UTC.[38],First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 UTC.[38]
77,Kosmos 111 (E-6S No.204),Kosmos 111,1 March 1966,Molniya-M,Lavochkin,Orbiter,
78,Kosmos 111 (E-6S No.204),Upper stage lost attitude control and failed to ignite;[38] spacecraft never left low Earth orbit.[39],Upper stage lost attitude control and failed to ignite;[38] spacecraft never left low Earth orbit.[39],Upper stage lost attitude control and failed to ignite;[38] spacecraft never left low Earth orbit.[39],Upper stage lost attitude control and failed to ignite;[38] spacecraft never left low Earth orbit.[39],Upper stage lost attitude control and failed to ignite;[38] spacecraft never left low Earth orbit.[39],Upper stage lost attitude control and failed to ignite;[38] spacecraft never left low Earth orbit.[39]
79,Luna 10 (E-6S No.206),Luna 10,31 March 1966,Molniya-M,Lavochkin,Orbiter,
80,Luna 10 (E-6S No.206),"Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon.[40] Continued to return data until 30 May.[38]","Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon.[40] Continued to return data until 30 May.[38]","Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon.[40] Continued to return data until 30 May.[38]","Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon.[40] Continued to return data until 30 May.[38]","Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon.[40] Continued to return data until 30 May.[38]","Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon.[40] Continued to return data until 30 May.[38]"
81,Surveyor 1,Surveyor 1,30 May 1966,Atlas LV-3C Centaur-D,NASA,Lander,
82,Surveyor 1,Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned data until loss of power on 13 July.[41],Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned data until loss of power on 13 July.[41],Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned data until loss of power on 13 July.[41],Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned data until loss of power on 13 July.[41],Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned data until loss of power on 13 July.[41],Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned data until loss of power on 13 July.[41]
83,Explorer 33 (AIMP-D),Explorer 33,1 July 1966,Delta E1,NASA,Orbiter,
84,Explorer 33 (AIMP-D),"Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth orbit mission which was completed successfully.[42]","Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth orbit mission which was completed successfully.[42]","Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth orbit mission which was completed successfully.[42]","Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth orbit mission which was completed successfully.[42]","Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth orbit mission which was completed successfully.[42]","Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth orbit mission which was completed successfully.[42]"
85,Lunar Orbiter 1,Lunar Orbiter 1,10 August 1966,Atlas SLV-3 Agena-D,NASA,Orbiter,
86,Lunar Orbiter 1,"Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]","Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]","Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]","Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]","Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]","Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]"
87,Luna 11 (E-6LF No.101),Luna 11,21 August 1966,Molniya-M,Lavochkin,Orbiter,
88,Luna 11 (E-6LF No.101),"Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly.[38] Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operation on 1 October 1966 after power was depleted.[44]","Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly.[38] Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operation on 1 October 1966 after power was depleted.[44]","Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly.[38] Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operation on 1 October 1966 after power was depleted.[44]","Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly.[38] Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operation on 1 October 1966 after power was depleted.[44]","Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly.[38] Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operation on 1 October 1966 after power was depleted.[44]","Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly.[38] Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operation on 1 October 1966 after power was depleted.[44]"
89,Surveyor 2,Surveyor 2,20 September 1966,Atlas LV-3C Centaur-D,NASA,Lander,
90,Surveyor 2,"One thruster failed to ignite during mid-course correction manoeuvre, resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 September 1966.[45]","One thruster failed to ignite during mid-course correction manoeuvre, resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 September 1966.[45]","One thruster failed to ignite during mid-course correction manoeuvre, resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 September 1966.[45]","One thruster failed to ignite during mid-course correction manoeuvre, resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 September 1966.[45]","One thruster failed to ignite during mid-course correction manoeuvre, resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 September 1966.[45]","One thruster failed to ignite during mid-course correction manoeuvre, resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 September 1966.[45]"
91,Luna 12 (E-6LF No.102),Luna 12,22 October 1966,Molniya-M,Lavochkin,Orbiter,
92,Luna 12 (E-6LF No.102),Entered orbit on 25 October 1966 and returned data until 19 January 1967.[46] Completed photography mission intended for Luna 11.[38],Entered orbit on 25 October 1966 and returned data until 19 January 1967.[46] Completed photography mission intended for Luna 11.[38],Entered orbit on 25 October 1966 and returned data until 19 January 1967.[46] Completed photography mission intended for Luna 11.[38],Entered orbit on 25 October 1966 and returned data until 19 January 1967.[46] Completed photography mission intended for Luna 11.[38],Entered orbit on 25 October 1966 and returned data until 19 January 1967.[46] Completed photography mission intended for Luna 11.[38],Entered orbit on 25 October 1966 and returned data until 19 January 1967.[46] Completed photography mission intended for Luna 11.[38]
93,Lunar Orbiter 2,Lunar Orbiter 2,6 November 1966,Atlas SLV-3 Agena-D,NASA,Orbiter,
94,Lunar Orbiter 2,Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.[47],Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.[47],Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.[47],Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.[47],Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.[47],Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.[47]
95,Luna 13 (E-6M No.205),Luna 13,21 December 1966,Molniya-M,Lavochkin,Lander,
96,Luna 13 (E-6M No.205),Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.[38] Returned images from the surface and studied the lunar soil.[48] Operated until depletion of power at 06:31 UTC on 28 December.[38],Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.[38] Returned images from the surface and studied the lunar soil.[48] Operated until depletion of power at 06:31 UTC on 28 December.[38],Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.[38] Returned images from the surface and studied the lunar soil.[48] Operated until depletion of power at 06:31 UTC on 28 December.[38],Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.[38] Returned images from the surface and studied the lunar soil.[48] Operated until depletion of power at 06:31 UTC on 28 December.[38],Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.[38] Returned images from the surface and studied the lunar soil.[48] Operated until depletion of power at 06:31 UTC on 28 December.[38],Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.[38] Returned images from the surface and studied the lunar soil.[48] Operated until depletion of power at 06:31 UTC on 28 December.[38]
97,Lunar Orbiter 3,Lunar Orbiter 3,5 February 1967,Atlas SLV-3 Agena-D,NASA,Orbiter,
98,Lunar Orbiter 3,Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.[49],Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.[49],Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.[49],Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.[49],Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.[49],Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.[49]
99,Surveyor 3,Surveyor 3,17 April 1967,Atlas LV-3C Centaur-D,NASA,Lander,
100,Surveyor 3,"Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.[52]","Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.[52]","Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.[52]","Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.[52]","Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.[52]","Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.[52]"
101,Lunar Orbiter 4,Lunar Orbiter 4,4 May 1967,Atlas SLV-3 Agena-D,NASA,Orbiter,
102,Lunar Orbiter 4,"Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.[50][53]","Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.[50][53]","Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.[50][53]","Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.[50][53]","Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.[50][53]","Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.[50][53]"
103,Surveyor 4,Surveyor 4,14 July 1967,Atlas LV-3C Centaur-D,NASA,Lander,
104,Surveyor 4,"Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing.[50] NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.[54]","Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing.[50] NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.[54]","Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing.[50] NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.[54]","Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing.[50] NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.[54]","Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing.[50] NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.[54]","Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing.[50] NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.[54]"
105,Explorer 35 (AIMP-E),Explorer 35 (AIMP-E),19 July 1967,Delta E1,NASA,Orbiter,
106,Explorer 35 (AIMP-E),"Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during the 1970s.[56]","Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during the 1970s.[56]","Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during the 1970s.[56]","Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during the 1970s.[56]","Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during the 1970s.[56]","Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during the 1970s.[56]"
107,Lunar Orbiter 5,Lunar Orbiter 5,1 August 1967,Atlas SLV-3 Agena-D,NASA,Orbiter,
108,Lunar Orbiter 5,"Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.[57]","Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.[57]","Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.[57]","Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.[57]","Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.[57]","Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.[57]"
109,Surveyor 5,Surveyor 5,8 September 1967,Atlas SLV-3C Centaur-D,NASA,Lander,
110,Surveyor 5,Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.[58],Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.[58],Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.[58],Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.[58],Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.[58],Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.[58]
111,Soyuz 7K-L1 No.4L,Soyuz 7K-L1 No.4L,27 September 1967,Proton-K/D,Lavochkin,Flyby,
112,Soyuz 7K-L1 No.4L,Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.[50],Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.[50],Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.[50],Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.[50],Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.[50],Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.[50]
113,Surveyor 6,Surveyor 6,7 November 1967,Atlas SLV-3C Centaur-D,NASA,Lander,
114,Surveyor 6,"Landed in Sinus Medii at 01:01:04 UTC on 10 November.[50] Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.[59]","Landed in Sinus Medii at 01:01:04 UTC on 10 November.[50] Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.[59]","Landed in Sinus Medii at 01:01:04 UTC on 10 November.[50] Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.[59]","Landed in Sinus Medii at 01:01:04 UTC on 10 November.[50] Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.[59]","Landed in Sinus Medii at 01:01:04 UTC on 10 November.[50] Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.[59]","Landed in Sinus Medii at 01:01:04 UTC on 10 November.[50] Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.[59]"
115,Soyuz 7K-L1 No.5L,Soyuz 7K-L1 No.5L,22 November 1967,Proton-K/D,Lavochkin,Flyby,
116,Soyuz 7K-L1 No.5L,Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.[50],Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.[50],Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.[50],Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.[50],Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.[50],Technology demonstration for planned crewed missions; unable to achieve orbit after second-stage engine failed to ignite.[50]
117,Surveyor 7,Surveyor 7,7 January 1968,Atlas SLV-3C Centaur-D,NASA,Lander,
118,Surveyor 7,Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61],Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61],Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61],Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61],Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61],Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from Tycho crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61]
119,Luna E-6LS No.112,Luna E-6LS No.112,7 February 1968,Molniya-M,Lavochkin,Orbiter,
120,Luna E-6LS No.112,Failed to orbit after third stage ran out of fuel.[61],Failed to orbit after third stage ran out of fuel.[61],Failed to orbit after third stage ran out of fuel.[61],Failed to orbit after third stage ran out of fuel.[61],Failed to orbit after third stage ran out of fuel.[61],Failed to orbit after third stage ran out of fuel.[61]
121,Luna 14 (E-6LS No.113),Luna 14,7 April 1968,Molniya-M,Lavochkin,Orbiter,
122,Luna 14 (E-6LS No.113),Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62],Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62],Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62],Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62],Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62],Tested communications for proposed crewed missions and studied the mass concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62]
123,Soyuz 7K-L1 No.7L,Soyuz 7K-L1 No.7L,22 April 1968,Proton-K/D,Lavochkin,Flyby,
124,Soyuz 7K-L1 No.7L,Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.[61],Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.[61],Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.[61],Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.[61],Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.[61],Technology demonstration for planned crewed missions. Failed to orbit after second-stage engine incorrectly commanded to shut down. Spacecraft was recovered using its prototype launch escape system.[61]
125,Zond 5 (7K-L1 No.9L),Zond 5,14 September 1968,Proton-K/D,Lavochkin,Flyby,
126,Zond 5 (7K-L1 No.9L),"Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.[63]","Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.[63]","Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.[63]","Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.[63]","Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.[63]","Two tortoises and other life forms on board a technology demonstration for planned crewed missions. Made a closest approach of 1,950 kilometres (1,210 mi) on 18 September, and circled the Moon before returning to Earth. Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the first Lunar spacecraft to be recovered successfully and carried the first Earth life to travel to and around the Moon.[63]"
127,Zond 6 (7K-L1 No.12L),Zond 6,10 November 1968,Proton-K/D,Lavochkin,Flyby,
